Quarter Ending,Department,UnitNo,Vendor Number,Vendor,City,State,DeptID Description,DeptID,Amount,Account,AcctNo,Fund Description,Fund
09/30/2009,Environmental Conservation,06140,0000276016,1st Run Computer Services Inc,,NY,WQD - Waterbury,6140040206,930.00,Rep&Maint-Info Tech Hardware,513000,Environmental Permit Fund,21295
09/30/2009,Environmental Conservation,06140,0000276016,1st Run Computer Services Inc,,NY,Water Supply Division - Wtby,6140040406,930.00,Rep&Maint-Info Tech Hardware,513000,Environmental Permit Fund,21295
09/30/2009,Vermont Veterans' Home,03300,0000284121,210 Innovations LLC,,CT,MAINTENANCE,3300010300,24.00,Freight & Express Mail,517300,Vermont Medicaid,21782
09/30/2009,Vermont Veterans' Home,03300,0000284121,210 Innovations LLC,,CT,MAINTENANCE,3300010300,420.00,Building Maintenance Supplies,520200,Vermont Medicaid,21782
09/30/2009,Corrections,03480,0000207719,21st Century Cellular,,PA,Brattleboro P&P,3480004630,270.80,Telecom-Wireless Phone Service,516659,General Fund,10000
09/30/2009,Corrections,03480,0000207719,21st Century Cellular,,PA,Springfield P&P,3480004730,35.00,Telecom-Wireless Phone Service,516659,General Fund,10000
09/30/2009,Public Safety,02140,0000010258,3M Co,,PA,DPS-AD-SS-Off of Tech Serv,2140011220,971.40,Other General Supplies,520500,General Fund,10000
09/30/2009,"Agriculture, Food & Markets",02200,0000010258,3M Co,,TX,Ag Development Division,2200030000,60.59,Medical and Lab Supplies,521810,General Fund,10000
09/30/2009,"Agriculture, Food & Markets",02200,0000010258,3M Co,,TX,Laboratory Section,2200043000,541.62,Medical and Lab Supplies,521810,General Fund,10000
09/30/2009,Health,03420,0000010258,3M Co,,PA,HS Lab-Microbiology,3420021209,283.98,Medical and Lab Supplies,521810,Federal Revenue Fund,22005
09/30/2009,Health,03420,0000010258,3M Co,,TX,HS Lab-Microbiology,3420021209,505.35,Medical and Lab Supplies,521810,General Fund,10000
09/30/2009,VT Offender Work Program,03675,0000010258,3M Co,,PA,VOWP-Resale-Sheetmetal,3675091010,23473.10,Road Supplies and Materials,521600,Correctional Industries Fund,59100
09/30/2009,VT Offender Work Program,03675,0000010258,3M Co,,PA,VOWP - Sign Shop - Resale,3675091011,-495.00,Road Supplies and Materials,521600,Correctional Industries Fund,59100
09/30/2009,Agency of Transportation,08100,0000010258,3M Co,,TX,Maintenance,8100002000,1735.20,Road Supplies and Materials,521600,Transp Fund - Nondedicated,20105
09/30/2009,"Forest, Parks & Recreation",06130,0000277548,4 Generations Masonry,,VT,Rehab Aging St Park Infrastruc,6130990801,6150.00,Other Contr and 3rd Pty Serv,507600,Natural Resources Proj Fund,31500
09/30/2009,"Forest, Parks & Recreation",06130,0000277548,4 Generations Masonry,,VT,Rehab Aging St Park Infrastruc,6130990801,2400.00,Other Repair & Maint Serv,513200,Natural Resources Proj Fund,31500
09/30/2009,"Forest, Parks & Recreation",06130,0000277548,4 Generations Masonry,,VT,Rehab Aging St Park Infrastruc,6130990801,3500.00,Repairs&Maint-Property/Grounds,513210,Natural Resources Proj Fund,31500
06/30/2017,Defender General's Office,02110,0000043657,Buildings & General Services-Postal,Montpelier,VT,AC Caledonia,2110011500,14.94,Postage-BGS Postal Svcs Only,517205,General Fund,10000
09/30/2009,Agency of Transportation,08100,0000016981,4imprint Inc,,WI,Maintenance,8100002000,1352.61,Cloth & Clothing,520520,Transp Fund - Nondedicated,20105
09/30/2009,Children and Family Services,03440,0000268665,5 Star Childcare Center,,VT,DCFS - Child Development,3440030000,23989.49,Child Care Subsidy Employ/Trai,603500,Federal Revenue Fund,22005
09/30/2009,Children and Family Services,03440,0000268665,5 Star Childcare Center,,VT,DCFS - Child Development,3440030000,213.45,Child Care Incapacity,603540,Federal Revenue Fund,22005
09/30/2009,Education,05100,0000000531,592 Green Mountain Council,,VT,Student Support/Safe & Healthy,5100038000,9423.36,Other Grants,550500,Federal Revenue Fund,22005
09/30/2009,Buildings & Gen Serv-Gov'tal,01150,0000018295,646-Fairpoint Communications,,NC,BGS-Info Center-Alburg,1150400300,404.85,Internet,516620,General Fund,10000
06/30/2017,Fish & Wildlife,06120,0000043657,Buildings & General Services-Postal,Montpelier,VT,Enforcement - Montpelier HQ,6120050000,779.42,Postage-BGS Postal Svcs Only,517205,F&W Fund - Nondedicated,20305
09/30/2009,Liquor Control,02300,0000018295,646-Fairpoint Communications,,NC,DLC - Administrative,2300003010,142.62,Tele-Internet-DSL-Cable Modem,516626,Liquor Control Fund,50300
06/30/2017,Transportation Agency,08100,0000006776,Bibens Home Center Inc,N Springfield,VT,Maintenance & Ops Bureau,8100002000,15.99,Communications,516600,Transp Fund - Nondedicated,20105
06/30/2017,VOSHA Review Board,01280,0000279225,"O'Brien,Benjamin R",Randolph,VT,VOSHA Review Board,1280000000,75.00,Per Diem,506000,General Fund,10000
09/30/2009,"Forest, Parks & Recreation",06130,0000018295,646-Fairpoint Communications,,NC,Parks,6130030000,3223.46,Telecom-Telephone Service,516652,State Forest Parks Fund,21270
09/30/2009,Agency of Transportation,08100,0000018295,646-Fairpoint Communications,,NC,Department of Motor Vehicles,8100002100,89.90,Tele-Internet-DSL-Cable Modem,516626,Transp Fund - Nondedicated,20105
09/30/2009,Agency of Transportation,08100,0000018295,646-Fairpoint Communications,,NC,Maintenance,8100002000,97.63,Telecom-Telephone Service,516652,Transp Fund - Nondedicated,20105
09/30/2009,Agency of Transportation,08100,0000018295,646-Fairpoint Communications,,NC,Department of Motor Vehicles,8100002100,113.71,Telecom-Telephone Service,516652,Transp Fund - Nondedicated,20105
09/30/2009,"Agriculture, Food & Markets",02200,0000288962,96 Degrees Inc,,VT,Ag Development Division,2200030000,750.00,Other Grants,550500,Federal Revenue Fund,22005
09/30/2009,Liquor Control,02300,0000006994,A & B Beverage & Redemption,,VT,DLC - Liquor Control Fund,2300001000,704.50,DLC  - Bottle Redemption Exp,523110,Liquor Control Fund,50300
09/30/2009,Fish & Wildlife,06120,0000006994,A & B Beverage & Redemption,,VT,Wildlife - Pittsford,6120021300,76.00,Registration & Identification,523640,F&W Fund - Nondedicated,20305
09/30/2009,"Forest, Parks & Recreation",06130,0000004489,A & D Automotive,,VT,Parks,6130030000,171.50,Rep & Maint - Motor Vehicles,512300,State Forest Parks Fund,21270
09/30/2009,Agency of Transportation,08100,0000012694,A B Container Co,,CT,Program Development,8100001100,1869.24,Medical and Lab Supplies,521810,Transp Fund - Nondedicated,20105
09/30/2009,"Forest, Parks & Recreation",06130,0000006438,A B L E Waste Management,,VT,Parks,6130030000,2453.00,Rubbish Removal,510210,State Forest Parks Fund,21270
09/30/2009,Environmental Conservation,06140,0000270398,A Bellavance & Sons Inc &,,VT,Petroleum Clean-up Fund,6140030400,10544.68,Environmental Site Work,519150,Petroleum Cleanup Fund,21255
09/30/2009,Agency of Transportation,08100,0000218010,A C Cook Electric,,VT,Aviation,8100000200,158.00,Other Contr and 3rd Pty Serv,507600,Transp Fund - Nondedicated,20105
09/30/2009,Agency of Transportation,08100,0000218010,A C Cook Electric,,VT,Program Development,8100001100,400.00,Other Contr and 3rd Pty Serv,507600,Transp Fund - Nondedicated,20105
09/30/2009,Agency of Transportation,08100,0000218010,A C Cook Electric,,VT,Maintenance,8100002000,6861.67,Other Contr and 3rd Pty Serv,507600,Transp Fund - Nondedicated,20105
09/30/2009,Agency of Transportation,08100,0000006753,A C Paving Corporation,,VT,Maintenance,8100002000,3410.50,Rent-Heavy Eq-Trks&Constr Eq,514600,Inter-Unit Transfers Fund,21500
09/30/2009,Agency of Transportation,08100,0000006753,A C Paving Corporation,,VT,Bridge Maintenance Program,8100005400,25150.53,Prop-Bldg&Lsehold Infra Improv,522800,Transp Fund - Nondedicated,20105
09/30/2009,Agency of Transportation,08100,0000006753,A C Paving Corporation,,VT,Bridge Maintenance Program,8100005400,100602.15,Prop-Bldg&Lsehold Infra Improv,522800,Transportation FHWA Fund,20135
09/30/2009,Buildings & Gen Serv-Capital,01180,0000273738,A Cooper Mechanical,,VT,State Buildings-Various Projec,705200010,32760.00,Contr&3rd Pty-Appr/Engineering,507300,General Gov Projects Fund,31100
09/30/2009,Buildings & Gen Serv-Capital,01180,0000273738,A Cooper Mechanical,,VT,State Buildings-Various Proj,904300010,19920.00,Contr&3rd Pty-Appr/Engineering,507300,General Gov Projects Fund,31100
09/30/2009,Health,03420,0000014102,A F Murphy Die & Machine Co,,MA,HS Lab-Chemistry,3420021210,539.66,Medical and Lab Supplies,521810,General Fund,10000
09/30/2009,Health,03420,0000014102,A F Murphy Die & Machine Co,,MA,HS Lab-Chemistry,3420021210,180.01,Medical and Lab Supplies,521810,Inter-Unit Transfers Fund,21500
09/30/2009,Military Department,02150,0000018634,A G Industries,,WA,AIR - 100%,2150021000,153.00,Educational Supplies,520540,Federal Revenue Fund,22005
09/30/2009,Military Department,02150,0000010434,A H Harris & Sons Inc,,CT,AIR - 75/25,2150022000,125.10,Building Maintenance Supplies,520200,General Fund,10000
09/30/2009,Military Department,02150,0000010434,A H Harris & Sons Inc,,CT,AIR - 75/25,2150022000,500.40,Building Maintenance Supplies,520200,Federal Revenue Fund,22005
06/30/2017,Judiciary,02120,0000013095,Neopost USA  Inc,Milford,CT,Judicial Bureau,2120070000,172.50,Rental - Office Equipment,514650,General Fund,10000
06/30/2017,Transportation Agency,08100,SINGLE,"MASON,ROGER,S JR",FRANKLIN,VT,Department of Motor Vehicles,8100002100,25.00,Agency Fund Payments,551400,DMV-Unidentified Receipts,63094
09/30/2009,Health,03420,0000073814,AHS-Administrative Fund,,VT,LH Burlington DO,3420021505,1.78,Food,520700,Federal Revenue Fund,22005
09/30/2009,"Forest, Parks & Recreation",06130,0000104710,A Johnson Co,,VT,Rustic Cabins,6130990902,243.00,Building Maintenance Supplies,520200,Comm & Commnty Dev Proj Fund,31600
09/30/2009,Children and Family Services,03440,0000032988,A K Sparhawk Inc,,VT,DCFS - Child Development,3440030000,11756.53,Child Care Subsidy Employ/Trai,603500,Federal Revenue Fund,22005
09/30/2009,Children and Family Services,03440,0000032988,A K Sparhawk Inc,,VT,DCFS - Child Development,3440030000,4372.30,Child Care Subsidy Protect SVC,603510,Federal Revenue Fund,22005
09/30/2009,Agency of Transportation,08100,0000005196,A L ST Onge Contractor Inc,,VT,Program Development,8100001100,1009825.37,Prop-Bldg&Lsehold Infra Improv,522800,Transportation FHWA Fund,20135
